word	freq	ascii
zaměstnanec	13935	zamestnanec
letošní	13923	letosni
někde	13916	nekde
konkrétní	13911	konkretni
chovat	13903	chovat
nabídnout	13886	nabidnout
příprava	13886	priprava
čelo	13858	celo
týkat	13850	tykat
obsahovat	13847	obsahovat
závěr	13844	zaver
přijmout	13826	prijmout
vážně	13823	vazne
ochrana	13821	ochrana
zbytek	13815	zbytek
máma	13804	mama
půda	13804	puda
pozornost	13764	pozornost
papír	13747	papir
rozhovor	13735	rozhovor
umění	13723	umeni
trenér	13715	trener
dětský	13686	detsky
následující	13680	nasledujici
řeka	13680	reka
chybět	13626	chybet
předmět	13613	predmet
vždyť	13612	vzdyt
univerzita	13607	univerzita
stroj	13591	stroj
článek	13586	clanek
aplikace	13585	aplikace
kůň	13569	kun
bolest	13557	bolest
návštěva	13535	navsteva
docházet	13533	dochazet
příroda	13533	priroda
výraz	13531	vyraz
veškerý	13528	veskery
zlatý	13514	zlaty
podstata	13508	podstata
poměrně	13481	pomerne
chování	13477	chovani
osm	13462	osm
blízko	13439	blizko
chlapec	13432	chlapec
rozvoj	13432	rozvoj
společně	13425	spolecne
celkem	13424	celkem
televize	13410	televize
obsah	13398	obsah
závod	13384	zavod
samý	13383	samy
objekt	13370	objekt
připomínat	13359	pripominat
zima	13344	zima
nástroj	13338	nastroj
naučit	13319	naucit
doprava	13296	doprava
značka	13296	znacka
kůže	13265	kuze
pozorovat	13248	pozorovat
vloni	13210	vloni
desítka	13205	desitka
mezinárodní	13204	mezinarodni
nicméně	13203	nicmene
tentokrát	13194	tentokrat
ven	13192	ven
manželka	13167	manzelka
přestože	13156	prestoze
počátek	13151	pocatek
vlna	13124	vlna
zvuk	13110	zvuk
zavolat	13106	zavolat
tradiční	13100	tradicni
léto	13095	leto
úspěšný	13095	uspesny
technický	13087	technicky
dokud	13084	dokud
bohužel	13048	bohuzel
stupeň	13024	stupen
táta	13020	tata
pohybovat	13019	pohybovat
výrazně	12997	vyrazne
nést	12982	nest
vzhledem	12981	vzhledem
deska	12974	deska
pamatovat	12971	pamatovat
voják	12958	vojak
umožňovat	12956	umoznovat
dolů	12946	dolu
vrstva	12921	vrstva
řeč	12913	rec
jasně	12881	jasne
modrý	12868	modry
provést	12847	provest
doktor	12829	doktor
čistý	12827	cisty
kamarád	12824	kamarad
chuť	12806	chut
úprava	12800	uprava
speciální	12797	specialni
rodinný	12795	rodinny
jakmile	12788	jakmile
výběr	12776	vyber
těšit	12770	tesit
živý	12756	zivy
vlastnost	12735	vlastnost
vzpomínat	12731	vzpominat
kvalitní	12716	kvalitni
úsměv	12715	usmev
dovolit	12714	dovolit
jednotka	12703	jednotka
mluvčí	12693	mluvci
obchodní	12683	obchodni
štěstí	12683	stesti
nikoli	12634	nikoli
rostlina	12624	rostlina
ekonomický	12612	ekonomicky
zdravotní	12609	zdravotni
ačkoli	12582	ackoli
konstrukce	12574	konstrukce
žák	12555	zak
ohled	12532	ohled
kontrola	12517	kontrola
styl	12506	styl
vůči	12502	vuci
klient	12483	klient
hluboký	12450	hluboky
škoda	12435	skoda
stavební	12385	stavebni
pouhý	12382	pouhy
věda	12382	veda
ústa	12376	usta
důsledek	12371	dusledek
vnímat	12359	vnimat
teorie	12350	teorie
verze	12335	verze
obor	12332	obor
pokusit	12331	pokusit
bydlet	12327	bydlet
zástupce	12324	zastupce
kolega	12321	kolega
bohatý	12303	bohaty
vytvářet	12299	vytvaret
stávat	12285	stavat
